,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
363,160,1,21.0,1680,0,0,0,0,0,0,22,0,0,4,0,6,8,1972,2007,0,0,4,3,0,510.0,1,0,1,1,0,0,1,162,0,0,321,483,0,1,0,0,483,504,0,987,0,0,1,1,2,1,0,5,0,0,0,1,1972.0,1,1,264,0,0,0,250,0,0,0,0,0,0,0,0,0,5,2009,0,0,118000
365,70,1,59.0,10690,0,0,0,0,0,0,12,0,0,0,0,5,7,1920,1997,1,0,0,0,1,0.0,1,2,1,1,3,0,3,456,0,0,216,672,0,1,0,2,672,672,0,1344,0,0,1,0,3,1,1,6,0,0,0,1,1964.0,1,1,468,0,1,0,0,128,218,0,0,0,0,0,0,0,7,2009,0,0,147000
367,80,0,101.0,9150,0,0,1,0,2,0,11,0,0,0,4,6,5,1962,1962,0,4,8,5,0,305.0,1,0,1,0,0,1,0,371,0,0,728,1099,0,1,0,0,1431,0,0,1431,0,1,1,0,3,1,1,6,0,1,2,4,1962.0,0,1,296,0,0,0,64,110,0,0,0,0,0,0,0,0,12,2008,0,0,165000
368,20,0,78.0,7800,0,0,0,0,0,0,11,0,0,0,1,5,6,1954,1954,0,0,4,3,0,200.0,1,0,0,1,0,0,5,540,0,0,728,1268,0,1,0,0,1268,0,0,1268,0,0,1,0,2,1,1,7,0,1,2,0,1954.0,2,1,244,0,0,0,0,98,0,0,0,0,0,0,0,0,3,2010,0,0,132000
371,50,0,80.0,17120,0,0,0,0,0,0,16,1,0,0,2,4,4,1959,1959,0,0,5,5,1,0.0,1,0,1,3,2,4,4,0,1,0,0,0,0,2,0,0,1120,468,0,1588,0,0,2,0,4,1,1,7,3,1,2,1,1991.0,2,2,680,0,0,1,0,59,0,0,0,0,0,0,0,0,7,2008,0,0,134432
372,120,0,50.0,7175,0,0,0,0,0,0,10,0,0,3,1,6,5,1984,1984,0,0,8,5,1,0.0,1,0,1,0,0,0,1,623,5,121,0,744,0,2,0,0,752,0,0,752,1,0,1,0,2,1,1,4,0,0,0,0,1984.0,1,1,264,0,0,0,353,0,0,0,90,0,0,1,0,0,2,2010,0,0,125000
373,20,0,79.0,10634,0,0,0,0,0,0,11,0,0,0,1,5,6,1953,1953,0,0,1,1,1,0.0,1,0,0,1,0,0,6,428,5,180,0,608,0,2,0,0,1319,0,0,1319,1,0,1,0,3,1,1,5,3,0,0,0,1953.0,1,1,270,0,0,0,66,0,0,0,0,0,0,3,0,0,11,2009,0,0,123000
374,60,0,65.0,8200,0,0,0,0,0,0,0,0,0,0,0,7,5,2003,2004,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,847,847,0,0,0,0,847,1081,0,1928,0,0,2,1,4,1,0,8,0,1,2,2,2003.0,2,2,434,0,0,0,100,48,0,0,0,0,0,0,0,0,7,2007,0,0,219500
376,85,0,57.0,8846,0,0,1,0,3,0,0,0,0,0,7,5,5,1996,1996,0,0,0,0,1,0.0,0,0,0,0,0,3,0,298,0,0,572,870,0,0,0,0,914,0,0,914,0,0,1,0,2,1,1,5,0,0,0,1,1998.0,1,2,576,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,0,0,148000
377,60,3,102.0,11143,0,0,1,0,2,0,5,0,0,0,0,8,5,2004,2005,0,0,6,6,1,0.0,0,0,0,0,0,0,2,0,0,0,1580,1580,0,0,0,0,1580,886,0,2466,0,0,3,0,4,1,0,8,0,1,2,0,2004.0,0,2,610,0,0,0,159,214,0,0,0,0,0,0,0,0,12,2007,0,0,340000
378,20,0,88.0,11394,0,0,0,0,2,0,15,0,0,0,1,9,2,2010,2010,1,0,0,0,2,350.0,0,0,0,2,0,3,0,1445,0,0,411,1856,0,0,0,0,1856,0,0,1856,1,0,1,1,1,1,2,8,0,1,3,0,2010.0,2,3,834,0,0,0,113,0,0,0,0,0,0,0,0,0,6,2010,1,2,394432
379,60,0,60.0,8123,0,0,1,0,0,0,17,5,0,0,0,6,5,2000,2000,0,0,0,0,0,16.0,1,0,0,0,0,0,2,0,0,0,982,982,0,0,0,0,1007,793,0,1800,0,0,2,1,3,1,1,7,0,1,1,0,2000.0,2,2,463,0,0,0,100,63,0,0,0,0,0,0,0,0,6,2009,0,0,179000
380,50,0,50.0,5000,0,2,0,0,0,0,23,0,0,0,2,5,6,1924,1950,0,0,3,4,1,0.0,1,0,2,1,0,0,5,218,0,0,808,1026,0,2,0,0,1026,665,0,1691,0,0,2,0,3,1,0,6,0,1,2,1,1924.0,1,1,308,0,0,0,0,0,242,0,0,0,0,0,0,0,5,2010,0,0,127000
381,20,3,60.0,7200,0,2,0,0,0,0,5,0,0,0,1,7,5,2006,2006,0,0,0,0,1,0.0,0,0,0,0,1,0,2,0,0,0,1293,1293,0,0,0,0,1301,0,0,1301,1,0,2,0,2,1,0,5,0,1,2,0,2006.0,0,2,572,0,0,0,216,121,0,0,0,0,0,0,0,0,8,2006,1,2,187750
382,60,0,79.0,9245,0,0,1,0,0,0,0,0,0,0,0,7,5,2006,2006,0,0,0,0,1,0.0,0,0,0,0,0,3,2,0,0,0,939,939,0,0,0,0,939,858,0,1797,0,0,2,1,3,1,0,8,0,0,0,0,2006.0,0,2,639,0,0,0,144,53,0,0,0,0,0,0,0,0,4,2007,0,0,213500
383,45,4,60.0,9000,0,0,0,0,2,0,10,0,0,0,3,6,3,1928,1950,0,0,2,4,1,0.0,1,0,2,4,3,0,2,0,0,0,784,784,0,2,1,2,784,0,0,784,0,0,1,0,2,1,1,5,0,0,0,1,1950.0,1,2,360,1,1,1,0,0,91,0,0,0,0,0,0,0,10,2009,0,0,76000
385,120,0,43.0,3182,0,0,0,0,0,0,21,0,0,3,1,8,5,2004,2005,0,0,0,0,0,16.0,0,0,0,0,0,0,0,24,0,0,1232,1256,0,0,0,0,1269,0,0,1269,0,0,2,0,2,1,0,6,0,1,1,0,2004.0,2,2,430,0,0,0,146,20,0,0,144,0,0,0,0,0,4,2010,0,0,192000
387,80,0,72.0,7200,0,0,0,0,0,0,18,0,0,0,4,6,6,1976,1976,1,0,1,1,0,255.0,1,0,1,1,0,3,1,631,0,0,410,1041,0,0,0,0,1125,0,0,1125,1,0,1,0,3,1,1,6,0,1,4,1,1977.0,1,1,352,0,0,0,296,0,0,0,0,0,0,3,0,0,10,2009,0,1,125000
388,20,0,93.0,9382,0,0,1,0,3,0,0,0,0,0,1,7,5,1999,2000,0,0,0,0,0,125.0,0,0,0,0,0,0,2,0,0,0,1468,1468,0,0,0,0,1479,0,0,1479,0,0,2,0,3,1,0,6,0,0,0,0,1999.0,0,2,577,0,0,0,120,25,0,0,0,0,0,0,0,0,7,2008,0,0,191000
389,60,0,96.0,12474,0,0,0,0,0,0,9,0,0,0,0,10,5,2007,2008,0,0,0,0,2,272.0,2,0,0,2,0,3,0,1280,0,0,402,1682,0,0,0,0,1742,590,0,2332,1,0,2,1,3,1,2,9,0,1,3,2,2008.0,2,3,846,0,0,0,196,134,0,0,0,0,0,0,0,0,8,2008,1,2,426000
390,50,0,50.0,8405,0,1,0,0,0,0,18,0,0,0,2,5,8,1900,1950,0,0,1,1,1,0.0,1,0,2,1,1,0,3,241,3,391,229,861,0,0,0,0,961,406,0,1367,1,0,1,0,4,1,1,7,0,0,0,1,1978.0,1,1,384,0,0,0,0,130,112,0,0,0,0,1,0,0,4,2008,0,0,119000
391,60,0,71.0,12209,0,0,1,0,3,0,4,0,0,0,0,6,5,2001,2002,0,0,0,0,1,0.0,1,0,0,2,0,0,1,690,0,0,114,804,0,0,0,0,804,1157,0,1961,1,0,2,1,3,1,0,7,0,1,1,2,2001.0,2,2,560,0,0,0,125,192,0,0,0,0,0,0,0,0,6,2009,0,0,215000
394,50,0,60.0,10134,0,0,0,0,0,0,6,0,0,0,2,5,6,1940,1950,0,0,1,1,1,0.0,1,0,1,1,0,0,2,0,0,0,735,735,0,1,0,2,735,299,0,1034,0,0,1,0,2,1,1,5,0,0,0,1,1940.0,1,1,240,0,0,0,0,39,0,0,0,0,0,0,0,0,7,2007,0,0,109000
395,20,0,68.0,9571,0,0,0,0,0,0,18,0,0,0,1,5,6,1956,1956,0,0,2,4,1,0.0,1,0,1,1,0,3,6,739,0,0,405,1144,0,2,0,0,1144,0,0,1144,1,0,1,0,3,1,1,6,0,0,0,0,1956.0,1,1,596,0,0,0,44,0,0,0,0,0,0,0,0,0,6,2010,0,0,129000
396,20,0,60.0,7200,0,0,0,2,0,0,0,0,0,0,1,5,5,1972,1972,1,0,1,1,1,0.0,1,0,1,1,0,3,3,777,0,0,117,894,0,2,0,0,894,0,0,894,0,0,1,0,2,1,1,6,0,0,0,1,1985.0,0,2,600,0,0,0,215,0,0,0,0,0,0,0,0,0,9,2009,0,0,123000
397,60,0,69.0,7590,0,0,0,0,0,0,11,6,0,0,0,5,5,1962,1962,0,0,0,0,0,288.0,1,0,1,1,0,0,1,540,0,0,324,864,0,2,0,0,876,936,0,1812,0,0,2,0,4,1,1,8,0,1,1,0,1962.0,0,1,264,0,0,0,0,168,0,0,0,0,0,0,0,0,7,2007,0,0,169500
398,30,1,60.0,8967,0,0,0,0,2,0,12,0,0,0,1,5,2,1920,1950,0,0,1,1,1,0.0,1,1,2,4,4,0,2,0,0,0,961,961,0,1,0,4,1077,0,0,1077,0,0,1,0,2,1,1,6,5,0,0,1,1920.0,1,1,338,4,3,1,0,0,0,0,0,0,0,0,0,0,11,2007,0,1,67000
399,60,3,65.0,8125,0,0,0,0,0,0,5,0,0,0,0,7,5,2006,2007,0,0,6,6,2,100.0,0,0,0,0,0,0,0,812,0,0,280,1092,0,0,0,0,1112,438,0,1550,1,0,2,0,2,1,0,7,0,0,0,0,2007.0,2,2,438,0,0,0,0,168,0,0,0,0,0,0,0,0,10,2009,0,0,241000
400,120,0,38.0,14963,0,0,2,0,0,0,1,0,0,3,1,8,5,1996,1996,0,0,3,7,1,0.0,0,0,0,0,0,0,0,786,0,0,474,1260,0,0,0,0,1288,0,0,1288,1,0,1,1,1,1,2,4,0,2,2,0,1996.0,2,2,500,0,0,0,120,30,0,0,224,0,0,0,0,0,12,2008,0,0,245500
401,20,0,65.0,8767,0,0,1,0,0,0,0,0,0,0,1,7,5,2005,2005,0,0,0,0,1,0.0,0,0,0,0,0,3,0,24,0,0,1286,1310,0,0,0,0,1310,0,0,1310,0,0,2,0,3,1,0,6,0,1,2,0,2005.0,2,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,1,2,164990
402,30,0,60.0,10200,0,0,0,0,0,0,8,0,0,0,1,5,8,1940,1997,0,0,2,4,1,0.0,1,0,0,1,0,0,2,0,0,0,672,672,0,0,0,0,672,0,0,672,0,0,1,0,2,1,1,4,0,0,0,1,1940.0,1,1,240,0,0,1,168,0,0,0,0,0,0,2,0,0,8,2008,0,0,108000
403,60,0,93.0,12090,0,0,0,0,2,0,3,0,0,0,0,8,5,1998,1998,1,0,0,0,0,650.0,0,0,0,0,0,0,2,0,0,0,1141,1141,0,1,0,0,1165,1098,0,2263,0,0,2,1,4,1,0,10,0,1,1,2,1998.0,2,2,420,0,0,0,144,123,0,0,0,0,0,0,0,0,7,2006,0,1,258000
406,50,0,51.0,10480,0,0,0,0,0,0,23,0,0,0,2,6,5,1936,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,2,0,0,0,1064,1064,0,0,0,2,1166,0,473,1639,0,0,1,0,3,1,1,6,5,0,0,1,1936.0,1,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2008,0,0,115000
407,70,0,63.0,15576,0,0,0,0,0,0,2,0,0,0,0,6,7,1915,1976,0,0,2,5,1,0.0,1,0,2,0,0,0,2,0,0,0,840,840,0,0,0,0,840,840,0,1680,0,0,2,0,4,1,1,8,0,0,0,0,1960.0,1,1,308,0,0,0,0,0,160,0,0,0,0,0,0,0,3,2008,0,0,177000
408,60,0,109.0,14154,0,0,0,0,2,0,9,0,0,0,0,7,5,2006,2006,0,0,0,0,0,350.0,0,0,0,2,1,0,2,0,0,0,1063,1063,0,0,0,0,1071,1101,0,2172,0,0,2,1,3,1,0,9,0,1,2,0,2006.0,0,3,947,0,0,0,192,62,0,0,0,0,0,0,0,0,8,2007,1,2,280000
409,60,3,85.0,10800,0,0,0,0,0,0,5,0,0,0,0,8,5,2007,2008,0,0,0,0,2,100.0,0,0,0,2,0,0,0,789,0,0,245,1034,0,0,0,0,1050,1028,0,2078,1,0,2,1,3,1,2,8,0,1,2,0,2008.0,2,3,836,0,0,0,0,102,0,0,0,0,0,0,0,0,4,2008,1,2,339750
410,20,0,68.0,9571,0,0,0,0,0,0,18,0,0,0,1,5,3,1958,1958,0,0,10,10,1,0.0,1,1,1,1,3,0,2,0,0,0,1276,1276,0,2,0,2,1276,0,0,1276,0,0,1,0,3,1,1,5,4,0,0,0,1958.0,1,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2009,2,1,60000
411,190,0,100.0,34650,0,0,0,1,0,0,17,0,0,1,1,5,5,1955,1955,1,0,2,4,1,0.0,1,0,1,1,0,2,3,1056,0,0,0,1056,0,2,1,0,1056,0,0,1056,1,0,1,0,3,1,1,5,0,0,0,0,1955.0,2,2,572,0,0,0,264,0,0,0,0,0,0,0,0,0,1,2006,0,0,145000
413,30,1,56.0,8960,0,1,0,0,0,0,6,2,0,0,1,5,6,1927,1950,0,0,5,2,1,0.0,1,0,1,1,0,0,2,0,0,0,1008,1008,0,1,0,2,1028,0,0,1028,0,0,1,0,2,1,1,5,0,1,2,1,1927.0,1,2,360,0,0,0,0,0,130,0,0,0,0,0,0,0,3,2010,0,0,115000
414,60,0,59.0,11228,0,0,2,0,3,0,10,0,0,0,0,7,5,1993,1993,0,0,0,0,1,0.0,0,0,0,0,0,0,6,50,4,531,499,1080,0,0,0,0,1080,1017,0,2097,0,1,2,1,3,1,0,9,0,1,1,0,1993.0,1,3,678,0,0,0,196,187,0,0,0,0,0,0,0,0,12,2008,0,0,228000
415,20,0,73.0,8899,0,0,1,0,0,0,17,0,0,0,1,7,5,2007,2007,0,0,0,0,1,0.0,0,0,0,0,0,3,0,24,0,0,1316,1340,0,0,0,0,1340,0,0,1340,0,0,2,0,3,1,0,6,0,0,0,0,2007.0,2,2,396,0,0,0,100,30,0,0,0,0,0,0,0,0,8,2007,1,2,181134
416,60,0,74.0,7844,0,0,0,0,0,0,8,0,0,0,0,6,7,1978,1978,1,0,4,3,0,203.0,1,0,1,1,0,0,1,209,0,0,463,672,0,2,0,0,672,728,0,1400,0,0,1,1,3,1,1,6,0,1,1,0,1978.0,2,2,440,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2006,0,0,149500
417,70,0,86.0,22420,0,0,1,0,0,0,2,1,0,0,0,6,6,1918,1950,1,0,2,8,1,0.0,1,0,2,0,0,0,6,1128,0,0,242,1370,1,2,1,2,1370,1254,0,2624,1,0,2,1,4,1,1,10,0,1,2,1,1918.0,1,3,864,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2007,0,0,239000
418,50,0,60.0,8160,0,0,0,0,0,0,18,0,0,0,2,5,6,1940,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,1,312,0,0,444,756,0,3,1,1,756,378,0,1134,1,0,1,1,3,1,1,7,0,0,0,1,1940.0,1,1,240,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2007,0,5,126000
419,20,0,65.0,8450,0,0,0,0,0,0,11,0,0,0,1,5,6,1968,1968,0,0,0,0,1,0.0,1,0,1,1,0,0,6,775,0,0,281,1056,0,0,0,0,1056,0,0,1056,1,0,1,0,3,1,1,6,0,1,4,0,1968.0,1,1,304,0,0,0,0,85,184,0,0,0,0,0,0,0,7,2010,0,0,142000
420,90,1,78.0,7060,0,0,0,0,0,0,4,0,0,2,7,7,5,1997,1998,0,0,0,0,0,200.0,1,2,0,0,1,1,0,1309,0,0,35,1344,0,0,0,0,1344,0,0,1344,2,0,2,0,2,2,1,8,0,0,0,0,1997.0,2,4,784,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2008,0,3,206300
422,20,0,100.0,21750,0,0,0,3,0,1,4,2,0,0,1,5,5,1954,1954,1,0,4,3,1,0.0,1,0,1,1,0,0,2,0,0,0,988,988,0,0,0,2,988,0,0,988,0,0,1,0,2,1,1,4,0,0,0,0,1954.0,0,2,520,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2008,0,0,113000
423,60,0,80.0,9200,0,0,0,0,0,0,3,0,0,0,0,8,5,1998,1998,0,0,0,0,0,473.0,0,0,0,0,0,0,0,986,0,0,484,1470,0,1,0,0,1470,1160,0,2630,1,0,2,1,4,1,0,8,0,1,1,0,1998.0,2,3,696,0,0,0,0,66,0,0,0,0,0,0,0,0,6,2008,0,0,315000
424,20,0,72.0,9000,0,0,0,0,0,0,11,0,0,0,1,6,5,1956,1956,0,0,2,4,0,74.0,1,0,1,0,0,0,5,616,0,0,580,1196,0,1,0,2,1196,0,0,1196,1,0,1,0,2,1,1,6,0,1,2,0,1956.0,0,1,297,0,0,0,0,44,0,0,0,0,0,0,0,0,5,2008,0,0,139000
425,60,1,60.0,3378,0,1,0,3,0,0,6,0,0,0,0,7,8,1946,1992,0,0,4,3,1,0.0,1,2,1,1,0,0,2,0,0,0,651,651,0,1,0,0,707,682,0,1389,0,0,1,1,3,1,1,6,0,2,2,1,1947.0,1,1,240,0,0,2,0,0,126,0,0,0,0,0,0,0,9,2009,0,0,135000
427,20,0,77.0,8593,0,0,1,0,0,0,11,0,0,0,1,4,6,1957,1957,1,0,1,1,1,0.0,1,0,1,1,0,0,3,288,0,0,619,907,0,0,0,0,907,0,0,907,0,0,1,0,3,1,1,5,0,0,0,1,1964.0,1,1,352,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2008,0,0,109008
428,20,0,64.0,6762,0,0,0,0,0,0,0,0,0,0,1,7,5,2007,2007,0,0,0,0,0,108.0,0,0,0,0,0,0,0,664,0,0,544,1208,0,0,0,0,1208,0,0,1208,1,0,2,0,2,1,0,6,0,0,0,0,2007.0,0,2,628,0,0,0,105,54,0,0,0,0,0,0,0,0,9,2007,1,2,195400
429,20,0,130.0,11457,0,0,1,0,2,0,14,0,0,0,1,6,5,1988,1988,0,0,4,3,1,0.0,1,0,1,0,0,2,0,1005,0,0,387,1392,0,2,0,0,1412,0,0,1412,1,0,2,0,3,1,0,6,0,1,1,0,1988.0,1,2,576,0,0,0,0,0,169,0,0,0,0,0,0,0,3,2009,0,0,175000
430,160,1,21.0,1680,0,0,0,0,0,0,22,0,0,4,0,6,5,1971,1971,0,0,4,3,0,232.0,1,0,1,1,0,0,1,387,0,0,96,483,0,2,0,0,483,504,0,987,0,0,1,1,2,1,1,4,0,0,0,1,1971.0,1,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2008,2,1,85400
432,160,1,24.0,1920,0,0,0,0,0,0,22,0,0,3,0,5,5,1971,1971,0,0,4,3,0,376.0,1,0,1,1,0,0,1,471,0,0,294,765,0,0,0,0,765,600,0,1365,1,0,1,1,2,1,1,6,1,0,0,1,1971.0,1,2,440,0,0,0,240,36,0,0,0,0,0,0,0,0,8,2007,0,0,122500
433,60,0,100.0,10839,0,0,1,0,2,0,17,0,0,0,0,6,5,1997,1998,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,0,0,926,926,0,0,0,0,926,678,0,1604,0,0,2,1,3,1,1,7,0,1,1,0,1997.0,2,2,470,0,0,0,0,36,0,0,0,0,0,0,0,0,7,2008,0,0,181000
435,60,0,43.0,10667,0,0,2,0,3,0,0,6,0,0,0,7,6,1996,1996,0,0,0,0,1,0.0,0,0,0,0,0,3,0,385,6,344,70,799,0,0,0,0,827,834,0,1661,1,0,2,1,3,1,0,6,0,1,1,0,1996.0,0,2,550,0,0,0,158,61,0,0,0,0,0,0,0,0,4,2009,5,0,212000
436,50,1,40.0,4400,0,0,0,0,0,0,6,0,0,0,2,6,8,1920,1950,0,0,7,8,1,0.0,1,0,2,4,0,0,2,0,0,0,648,648,0,2,0,2,734,384,0,1118,0,0,1,0,2,1,1,6,0,0,0,1,1990.0,1,2,440,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2006,0,0,116000
437,45,1,50.0,6000,0,0,0,0,0,0,7,0,0,0,3,6,7,1926,2004,0,0,2,4,1,0.0,0,0,0,1,0,0,2,0,0,0,884,884,0,1,0,0,904,0,0,904,0,0,1,0,2,1,1,4,0,0,0,1,1926.0,1,1,180,0,0,0,0,0,105,0,0,0,0,0,0,0,1,2009,0,0,119000
438,30,0,40.0,4280,0,0,0,0,0,0,2,0,0,0,1,5,6,1913,2002,0,0,5,8,1,0.0,1,0,0,1,0,0,5,365,0,0,75,440,0,2,1,0,694,0,0,694,0,0,1,0,2,1,0,4,0,1,2,1,1990.0,1,1,352,2,0,2,0,0,34,0,0,0,0,1,0,0,3,2007,0,0,90350
439,50,0,67.0,12354,0,1,0,0,2,0,18,0,0,0,2,6,8,1920,2000,0,0,2,4,1,0.0,1,0,2,1,3,2,2,0,0,0,684,684,0,1,0,0,684,512,0,1196,0,0,1,0,3,1,0,7,0,0,0,1,2005.0,1,2,528,0,0,0,0,46,0,0,0,0,0,2,1,800,8,2009,3,0,110000
440,20,0,105.0,15431,0,0,0,0,0,0,9,0,0,0,1,10,5,2008,2008,1,0,0,0,2,200.0,2,0,0,2,0,1,0,1767,6,539,788,3094,0,0,0,0,2402,0,0,2402,1,0,2,0,2,1,2,10,0,2,2,0,2008.0,2,3,672,0,0,0,0,72,0,0,170,0,0,0,0,0,4,2009,0,0,555000
442,50,1,52.0,6240,0,0,0,0,0,0,7,0,0,0,2,5,7,1930,1992,0,0,1,1,1,0.0,1,0,0,1,0,0,2,0,0,0,1078,1078,0,2,0,0,1128,445,0,1573,0,0,2,0,3,1,1,8,0,1,2,1,1930.0,1,2,360,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2008,0,0,162900
443,120,0,53.0,3922,0,0,0,0,0,0,21,0,0,3,1,7,5,2006,2007,0,0,5,2,0,72.0,0,0,0,2,0,3,2,0,0,0,1258,1258,0,0,0,0,1258,0,0,1258,0,0,2,0,2,1,0,6,0,1,2,0,2007.0,2,3,648,0,0,0,144,16,0,0,0,0,0,0,0,0,6,2007,1,2,172500
444,60,0,70.0,8750,0,0,0,0,0,0,0,0,0,0,0,7,5,1994,1995,0,0,0,0,1,0.0,0,2,0,0,0,0,0,642,0,0,273,915,0,0,0,0,933,975,0,1908,1,0,2,1,4,1,0,8,0,1,1,0,1994.0,1,2,493,0,0,0,144,133,0,0,0,0,0,0,0,0,7,2008,0,0,210000
445,20,0,73.0,9855,0,0,0,0,2,0,18,0,0,0,1,6,5,1956,1956,1,0,2,4,1,0.0,1,0,1,1,0,0,2,0,0,0,1436,1436,0,3,0,0,1689,0,0,1689,0,0,1,0,3,1,1,7,0,1,2,0,1956.0,1,2,480,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2009,2,0,127500
446,20,0,137.0,16492,0,0,1,0,2,0,11,7,0,0,1,6,6,1966,2002,0,0,3,5,1,0.0,0,0,1,1,0,0,1,247,2,713,557,1517,0,0,0,0,1888,0,0,1888,0,0,2,1,2,1,0,6,4,1,2,0,1966.0,2,2,578,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2010,0,0,190000
448,50,1,50.0,8600,0,0,0,1,0,0,12,0,0,0,2,6,6,1937,1950,0,0,1,1,1,0.0,1,0,2,1,0,0,2,0,0,0,780,780,0,2,0,0,780,596,0,1376,0,0,2,0,3,1,1,7,0,1,2,1,1937.0,1,1,198,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2006,0,0,119500
449,50,1,50.0,6000,0,0,0,0,0,0,6,0,0,0,2,3,7,1948,2002,0,0,1,1,1,0.0,1,2,1,1,0,0,1,331,0,0,318,649,0,0,0,0,679,504,0,1183,0,0,1,1,2,1,1,6,0,0,0,1,1981.0,1,1,308,0,0,0,0,176,0,0,0,0,0,0,0,0,6,2007,0,0,120000
450,30,1,70.0,5684,0,0,0,0,0,0,6,0,0,0,1,6,8,1930,2005,1,0,2,4,1,0.0,1,0,2,1,0,0,2,0,0,0,813,813,0,0,0,2,813,0,0,813,0,0,1,0,2,1,0,5,0,0,0,1,1932.0,1,1,270,1,1,1,0,113,0,0,0,0,0,0,0,0,6,2006,0,0,110000
451,20,0,62.0,70761,0,0,1,2,0,1,16,0,0,0,1,7,5,1975,1975,0,1,8,5,1,0.0,1,0,1,0,0,1,1,655,0,0,878,1533,0,2,0,0,1533,0,0,1533,1,0,2,0,2,1,0,5,0,2,1,0,1975.0,1,2,576,0,0,0,200,54,0,0,0,0,0,0,0,0,12,2006,0,0,280000
453,60,3,75.0,9000,0,0,0,0,0,0,5,0,0,0,0,8,5,2008,2008,0,0,0,0,1,0.0,0,0,0,0,0,0,2,0,0,0,768,768,0,0,0,0,786,804,0,1590,0,0,2,1,3,1,0,6,0,0,0,0,2008.0,0,2,676,0,0,0,0,30,0,0,0,0,0,0,0,0,6,2009,0,0,210000
454,90,0,63.0,9297,0,0,0,0,0,0,4,0,0,2,1,5,5,1976,1976,0,0,8,5,1,0.0,1,0,1,1,0,0,1,1606,0,0,122,1728,0,2,0,0,1728,0,0,1728,2,0,2,0,4,2,1,8,0,0,0,1,1976.0,1,2,560,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2006,0,4,188000
455,20,0,80.0,9600,0,0,0,0,0,0,19,0,0,0,1,7,6,1973,1973,1,0,4,3,0,320.0,1,0,1,1,0,0,1,916,0,0,326,1242,0,3,0,0,1242,0,0,1242,0,0,1,1,3,1,1,6,0,1,1,0,1973.0,1,2,528,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2007,0,0,175500
456,70,1,34.0,4571,0,1,0,0,0,0,6,0,0,0,0,5,5,1916,1950,0,0,9,9,1,0.0,1,0,2,1,0,0,2,0,0,0,624,624,0,3,1,0,624,720,0,1344,0,0,1,0,4,1,1,7,0,0,0,1,1916.0,1,3,513,1,1,0,0,0,96,0,0,0,0,0,0,0,5,2008,2,1,98000
460,60,3,75.0,8004,0,0,1,0,0,0,5,5,0,0,0,8,5,2009,2009,0,0,0,0,2,110.0,0,0,0,0,0,0,0,544,0,0,288,832,0,0,0,0,832,1103,0,1935,1,0,2,1,3,1,1,8,0,0,0,2,2009.0,2,2,552,0,0,0,0,150,0,0,0,0,0,0,0,0,12,2009,1,2,263435
461,70,0,60.0,7200,0,0,0,0,0,0,23,1,0,0,0,7,9,1936,2007,0,0,2,4,1,0.0,0,2,0,0,1,0,1,350,3,210,0,560,0,0,0,0,575,560,0,1135,1,0,1,0,3,1,0,6,0,0,0,1,1971.0,0,2,576,0,0,0,256,0,0,0,0,0,0,1,0,0,4,2009,0,0,155000
